analysis_id,48k6q0f6egb71l5
pvalue,0.3823692
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_id,IMPC_CSD_008_001
mouse_life_stage,Early adult
