gene_symbol,Bpifa3
analysis_id,60x1st50353c2lw
pvalue,0.5710561
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,PQ
