analysis_id,6i19568t9e72j3c
parameter_id,MGP_IMM_004_001
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_strain,C57BL
gene_accession_id,MGI:1913284
gene_symbol,Psmd14
mouse_life_stage,Early adult
pvalue,0.7097327
