analysis_id,oh35e849kx17420
pvalue,0.7861695
parameter_name,Creatinine
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
gene_symbol,Mov10
mouse_strain,C57BL
gene_accession_id,MGI:97054
