gene_symbol,Uckl1
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:1915806
pvalue,0.5861875
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Weight
analysis_id,rq6y58r3317d454
