parameter_name,Hematocrit
mouse_strain,C57BL
parameter_id,IMPC_HEM_004_001
pvalue,0.8990611
analysis_id,1j3m3452gt737v2
mouse_life_stage,E18.5
gene_symbol,Ola1
gene_accession_id,MGI:1914309
