parameter_name,% Freezing duration pre-cue-2
pvalue,0.2401956
gene_symbol,Etfdh
analysis_id,fqs653y7b369msg
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
parameter_id,ICS_FEA_019_001
