parameter_name,Total protein
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
mouse_strain,C57BL
pvalue,0.2542052
parameter_id,IMPC_CBC_006_001
analysis_id,p8z61tfk39d1505
