parameter_name,Retina (combined)
mouse_life_stage,Early adult
gene_symbol,Ssr2
pvalue,0.9252235
analysis_id,91w4l0146mh44n6
mouse_strain,C57BL
gene_accession_id,MGI:1913506
parameter_id,IMPC_EYE_092_001
