parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
analysis_id,63684j9c8dcfr89
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
gene_symbol,Kifap3
parameter_name,Anophthalmia
pvalue,0.08764219
