parameter_name,Embryo turning
gene_symbol,Mms22l
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
pvalue,0.1208798
analysis_id,041462ty7oup2a7
mouse_strain,129SV
parameter_id,IMPC_GEL_011_001
