analysis_id,476403v2e09yr9e
parameter_id,MGP_IMM_130_001
pvalue,0.5266266
gene_symbol,Mecom
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:95457
parameter_name,CD11b-low cDC - % of CD45+
