parameter_name,Periphery resting time
parameter_id,HRWLLA_OFD_011_001
gene_accession_id,MGI:1920344
pvalue,0.6491975
analysis_id,bz2h6316p0s4lki
gene_symbol,Sgip1
mouse_strain,C57BL
mouse_life_stage,Early adult
