analysis_id,15g6207495p2w33
parameter_name,Red blood cell count
pvalue,0.8954226
gene_accession_id,MGI:1336200
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Hpca
parameter_id,ESLIM_016_001_002
