analysis_id,3u8me206cp7ycgl
parameter_name,Tremor
mouse_life_stage,Early adult
gene_symbol,Tubb4b
mouse_strain,C57BL
pvalue,0.689981
gene_accession_id,MGI:1915472
parameter_id,IMPC_CSD_030_001
