parameter_name,Edema
analysis_id,7bpgcjaw4t51471
gene_symbol,Ints7
pvalue,0.1511258
parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
