parameter_name,Right total retinal thickness
gene_accession_id,MGI:2684980
analysis_id,ix970anzq681u3f
gene_symbol,Mms22l
pvalue,0.092676
parameter_id,IMPC_EYE_062_001
mouse_strain,129SV
mouse_life_stage,Early adult
