parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cntfr
pvalue,0.1549297
parameter_id,IMPC_HEM_006_001
analysis_id,5489206br43y7w0
gene_accession_id,MGI:99605
