gene_symbol,Cds2
parameter_name,Prepulse inhibition - PP4
analysis_id,ppku4wx6x8w197a
pvalue,0.7791833
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_id,ESLIM_011_001_704
mouse_strain,C57BL
