gene_symbol,Nucks1
parameter_name,Heart weight
mouse_life_stage,Early adult
pvalue,0.3672681
gene_accession_id,MGI:1934811
analysis_id,65br3y2f3nenfc4
mouse_strain,C57BL
parameter_id,IMPC_HWT_008_001
