gene_symbol,Trp53rkb
parameter_name,Thyroxine
gene_accession_id,MGI:1914050
analysis_id,313kw1y745r34w7
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5215491
