analysis_id,351khtts6me7i7o
gene_symbol,Abo
parameter_id,HRWLLA_OFD_013_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery average speed
pvalue,0.7139011
gene_accession_id,MGI:2135738
