analysis_id,36k1b26b992bk8o
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
pvalue,0.5693904
gene_symbol,Psmd14
gene_accession_id,MGI:1913284
parameter_name,Stroke Volume
