analysis_id,cot3178uy94773y
mouse_strain,C57BL
gene_symbol,Inpp1
pvalue,0.8907806
parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
