parameter_name,18kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_008_001
gene_accession_id,MGI:1914556
analysis_id,382132alf657555
pvalue,0.6959368
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
mouse_strain,C57BL
