analysis_id,tvtu83od10ju6l4
parameter_name,NK Subsets (Q2)
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
gene_symbol,Psd4
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
pvalue,0.1943932
