gene_symbol,Ola1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_033_001
pvalue,0.8933677
gene_accession_id,MGI:1914309
analysis_id,9ncn81mn195fu94
parameter_name,Resting NK cells - % of NK cells
