analysis_id,96uj910v04nxktf
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:1346344
parameter_id,HRWLLA_GRS_010_001
mouse_strain,B6J
pvalue,0.5393663
gene_symbol,Nr0b2
