parameter_id,M-G-P_008_001_013
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3729571
parameter_name,Startle Response
gene_accession_id,MGI:107414
analysis_id,ba663887st8udjv
gene_symbol,Tnfsf10
