parameter_id,JAXLA_CSD_007_001
mouse_strain,C57BL
gene_symbol,Fgb
pvalue,0.3694604
gene_accession_id,MGI:99501
parameter_name,Coat - color - abdomen
analysis_id,02e9578x0pkbnbs
mouse_life_stage,Early adult
