gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_id,ESLIM_007_001_015
pvalue,0.6878001
parameter_name,Number of centre entries
analysis_id,zvp4012t1hii08f
mouse_strain,C57BL
mouse_life_stage,Early adult
