analysis_id,73sypu58nmdt0pp
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_name,Neutrophils
gene_accession_id,MGI:88174
parameter_id,IMPC_IMM_050_001
pvalue,0.2263584
mouse_life_stage,E12.5
