analysis_id,0p34jtu7637285o
gene_symbol,Slc2a8
mouse_life_stage,Early adult
parameter_id,MGP_IMM_079_001
pvalue,0.5000631
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1860103
