analysis_id,3z0r5f4650qge48
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_id,MGP_IMM_074_001
gene_symbol,AU040320
mouse_life_stage,Late adult
pvalue,0.3436244
parameter_name,Resting CD4+ T helper cells - % of CD45+
