parameter_name,Periphery distance travelled
gene_accession_id,MGI:2444113
mouse_strain,C57BL
analysis_id,g987ddf9xub38v0
gene_symbol,Nemp2
pvalue,0.8357065
mouse_life_stage,Early adult
parameter_id,JAX_OFD_010_001
