parameter_name,Neutrophil differential count
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
analysis_id,zvsgs351cr2jhy9
parameter_id,IMPC_HEM_029_001
pvalue,0.924348
gene_symbol,Eprs1
mouse_strain,C57BL
