analysis_id,v2ow114137aw9fc
gene_symbol,Lpgat1
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.1768128
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
