parameter_name,Aspartate aminotransferase
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
pvalue,0.06678563
analysis_id,9pn09p3w4zx3r7u
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
