analysis_id,2my31g8l6p39m92
pvalue,0.6403433
mouse_life_stage,Early adult
parameter_name,Periphery resting time
mouse_strain,C57BL
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_id,IMPC_OFD_011_001
