analysis_id,5fk52p88649740o
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ints7
pvalue,0.2550356
parameter_name,Average duration
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:1924315
