parameter_id,JAX_OFD_017_001
mouse_life_stage,E18.5
analysis_id,16vd24w33c67s08
pvalue,0.4745518
gene_symbol,Zyg11b
parameter_name,Center average speed
gene_accession_id,MGI:2685277
mouse_strain,C57BL
