mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
pvalue,0.5821482
analysis_id,3093b41j8qczgb8
parameter_name,Number of centre entries
