analysis_id,5n40ib22m19b437
mouse_strain,C57BL
gene_accession_id,MGI:1918345
parameter_id,IMPC_CSD_079_001
mouse_life_stage,Early adult
parameter_name,Aggression
gene_symbol,Kif24
pvalue,0.1371027
