gene_symbol,Toporsl
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
mouse_strain,C57BL
parameter_id,M-G-P_014_001_001
analysis_id,d284j48x541d38m
pvalue,0.2567028
parameter_name,Eye
