parameter_name,QT
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
analysis_id,509y7634gz8wyf1
pvalue,0.429862
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
