parameter_id,MGP_CSD_064_001
analysis_id,41tq720kv51cm0c
parameter_name,Head morphology
pvalue,0.3025605
mouse_strain,C57BL
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
gene_symbol,Alkbh3
