parameter_name,Lean mass
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
pvalue,0.3581165
mouse_strain,C57BL
gene_symbol,Cdin1
parameter_id,IMPC_DXA_003_001
analysis_id,pneom1009qwbe52
