analysis_id,e1q101y4k2967gs
mouse_strain,C57BL
parameter_name,Effector gd T cells - % of gd T cells
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_020_001
pvalue,0.8140801
