pvalue,0.2197971
mouse_life_stage,Early adult
analysis_id,8liu8x485w85688
mouse_strain,C57BL
gene_accession_id,MGI:2448481
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
gene_symbol,Mgst2
