gene_symbol,Gpr39
gene_accession_id,MGI:1918361
parameter_id,M-G-P_013_001_001
pvalue,0.3414984
mouse_strain,C57BL
parameter_name,Eye
analysis_id,b6i4t7b0es4r204
mouse_life_stage,Early adult
