analysis_id,34340279g792a52
gene_symbol,Nanp
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_name,Zygomatic bone
pvalue,1.339404
parameter_id,IMPC_XRY_002_001
