analysis_id,eddu97i787dawm7
pvalue,0.6472239
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Distance travelled - total
gene_accession_id,MGI:1914556
parameter_id,IMPC_OFD_020_001
