parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
pvalue,0.867228
analysis_id,5pt578h7lp5ydxa
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
