gene_symbol,Msantd3
gene_accession_id,MGI:1913915
pvalue,0.8888938
mouse_life_stage,Early adult
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_strain,C51BL
parameter_id,MGP_BMI_006_001
analysis_id,cq786zpax0s5085
