mouse_strain,B6J
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,MGP_PBI_003_001
gene_symbol,Nr0b2
pvalue,0.7808075
parameter_name,CD4+ alpha beta T cell percentage
analysis_id,x9p83f8720s758q
