parameter_name,Neutrophils
mouse_strain,C56BL
pvalue,0.2106367
analysis_id,2qy1j5ffjxhdh9c
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
mouse_life_stage,E9.5
