parameter_name,ST
analysis_id,1to0rf678uo3b9f
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
pvalue,0.513176
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
mouse_strain,C57BL
