gene_symbol,Sfpq
mouse_strain,C57BL
parameter_name,B cell percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:1918764
pvalue,0.552056
analysis_id,8i18zwc7do889do
