parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
analysis_id,0812l2j0k30694c
mouse_life_stage,Early adult
gene_symbol,Psmd14
parameter_id,IMPC_IMM_071_001
pvalue,0.6879906
gene_accession_id,MGI:1913284
