gene_symbol,Car13
parameter_id,MGP_MLN_006_001
mouse_life_stage,Early adult
analysis_id,pfy45dwsh08tj2i
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1931322
mouse_strain,C57BL
pvalue,0.7362487
