analysis_id,ad2002oba4krl14
mouse_strain,C55BL
gene_accession_id,MGI:1346088
gene_symbol,Cd52
pvalue,0.0855113
parameter_id,JAXLA_CSD_007_001
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
