analysis_id,7tdw0l32euk6pu3
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
gene_accession_id,MGI:1914561
pvalue,0.2995874
gene_symbol,Nanp
