parameter_name,Neutrophil differential count
pvalue,0.9988967
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
analysis_id,8ka14782q34877h
parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
gene_symbol,Nemp2
