parameter_name,Skull shape
gene_symbol,Slx4ip
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:1921493
mouse_strain,C57BL
pvalue,0.6993199
analysis_id,5mo6x7sxog8l6w5
